Sentence #,Word,POS,Tag
Sentence: 1,لە,NN,O
Sentence: 1,ئامەد,NN,B-LOC
Sentence: 1,کێشەی,JJ,O
Sentence: 1,نووسینی,JJ,O
Sentence: 1,رێنماییەکان,NNS,B-MISC
Sentence: 1,بە,NN,O
Sentence: 1,زمانی,JJ,B-MISC
Sentence: 1,کوردی,JJ,I-MISC
Sentence: 1,لەنێوان,NNS,O
Sentence: 1,شارەوانی,JJ,B-ORG
Sentence: 1,و,NN,O
Sentence: 1,پارێزگا,NN,B-ORG
Sentence: 1,بەردەوامە,NN,O
Sentence: 1,.,.,O
Sentence: 2,دوای,JJ,O
Sentence: 2,ئەوەی,JJ,O
Sentence: 2,گەورە,NN,B-ORG
Sentence: 2,شارەوانیی,JJ,I-ORG
Sentence: 2,ئامەد,NN,I-ORG
Sentence: 2,رێنماییەکانی,JJ,O
Sentence: 2,هاتووچۆی,JJ,O
Sentence: 2,لەسەر,NN,O
Sentence: 2,شەقام,NN,B-LOC
Sentence: 2,و,NN,O
Sentence: 2,رێگەوبانەکان,NNS,B-LOC
Sentence: 2,بە,NN,O
Sentence: 2,کوردی,JJ,B-MISC
Sentence: 2,نووسییەوە,NN,O
Sentence: 2,،,NN,O
Sentence: 2,بە,NN,O
Sentence: 2,فەرمانی,JJ,O
Sentence: 2,پارێزگا,NN,B-ORG
Sentence: 2,جارێكی,JJ,O
Sentence: 2,دیکە,NN,O
Sentence: 2,سڕانەوە,NN,O
Sentence: 2,.,.,O
Sentence: 3,دوای,JJ,O
Sentence: 3,ئەوەی,JJ,O
Sentence: 3,بە,NN,O
Sentence: 3,بڕیاری,JJ,O
Sentence: 3,پارێزگا,NN,B-ORG
Sentence: 3,ئەو,NN,O
Sentence: 3,رێنماییانەی,JJ,O
Sentence: 3,گەورە,NN,O
Sentence: 3,شارەوانیی,JJ,B-ORG
Sentence: 3,ئامەد,NN,I-ORG
Sentence: 3,لەسەر,NN,O
Sentence: 3,شەقام,NN,B-LOC
Sentence: 3,و,NN,O
Sentence: 3,رێگەوبانەکان,NNS,B-LOC
Sentence: 3,بە,NN,O
Sentence: 3,زمانی,JJ,B-MISC
Sentence: 3,کوردی,JJ,I-MISC
Sentence: 3,نووسیبوونی,JJ,O
Sentence: 3,سڕانەوە,NN,O
Sentence: 3,،,NN,O
Sentence: 3,گەورە,NN,O
Sentence: 3,شارەوانیی,JJ,B-ORG
Sentence: 3,شارەکە,NN,O
Sentence: 3,هەمان,NNS,O
Sentence: 3,ئەو,NN,O
Sentence: 3,رێنماییانەی,JJ,O
Sentence: 3,نووسییەوە,NN,O
Sentence: 3,،,NN,O
Sentence: 3,بەڵام,NN,O
Sentence: 3,رۆژی,JJ,B-DATE
Sentence: 3,دووشەممە,NN,I-DATE
Sentence: 3,پێنج,NN,B-DATE
Sentence: 3,ـی,JJ,I-DATE
Sentence: 3,ئاب,NN,I-DATE
Sentence: 3,جارێکی,JJ,O
Sentence: 3,دیکە,NN,O
Sentence: 3,بە,NN,O
Sentence: 3,فەرمانی,JJ,O
Sentence: 3,پارێزگای,JJ,B-LOC
Sentence: 3,ئامەد,NN,I-LOC
Sentence: 3,رێنماییە,NN,O
Sentence: 3,کوردییەکان,NNS,B-MISC
Sentence: 3,سڕانەوە,NN,O
Sentence: 3,.,.,O
Sentence: 4,مەهدی,JJ,B-PER
Sentence: 4,ئۆزدەمیر,NN,I-PER
Sentence: 4,،,NN,O
Sentence: 4,جێگری,JJ,O
Sentence: 4,سەرۆکی,JJ,O
Sentence: 4,بارۆی,JJ,B-ORG
Sentence: 4,ئامەد,NN,I-ORG
Sentence: 4,رایگەیاند,NN,O
Sentence: 4,،,NN,O
Sentence: 4,دابینکردنی,JJ,O
Sentence: 4,خزمەتگوزارییە,NN,B-MISC
Sentence: 4,گشتییەکان,NNS,I-MISC
Sentence: 4,بە,NN,O
Sentence: 4,زمانە,NN,B-MISC
Sentence: 4,جیاوازەکان,NNS,I-MISC
Sentence: 4,لە,NN,O
Sentence: 4,رووی,JJ,O
Sentence: 4,یاسایی,JJ,B-MISC
Sentence: 4,و,NN,O
Sentence: 4,دەستوورییەوە,NN,B-MISC
Sentence: 4,لە,NN,O
Sentence: 4,تورکیا,NN,B-LOC
Sentence: 4,کێشە,NN,O
Sentence: 4,دروست,NN,O
Sentence: 4,ناکات,NN,O
Sentence: 4,.,.,O
Sentence: 5,ئۆزدەمیر,NN,B-PER
Sentence: 5,گوتی,JJ,O
Sentence: 5,لە,NN,O
Sentence: 5,مادەی,JJ,B-MISC
Sentence: 5,١٣ـی,JJ,I-MISC
Sentence: 5,یاسای,JJ,I-MISC
Sentence: 5,شارەوانی,JJ,I-MISC
Sentence: 5,ژمارە,NN,O
Sentence: 5,٥٣٩٣,NN,O
Sentence: 5,ـدا,NN,O
Sentence: 5,هاتووە,NN,O
Sentence: 5,؛,NN,O
Sentence: 5,شارەوانییەکان,NNS,B-ORG
Sentence: 5,بۆ,NN,O
Sentence: 5,چ,NN,O
Sentence: 5,مەبەستێک,NN,O
Sentence: 5,و,NN,O
Sentence: 5,بە,NN,O
